studentID,gender,age,course,feederSchoolType,civilStatus,familyMonthlyIncome,religion,barangay
21-00045,Male,33,BSCS,Public,Married,98554,Agnostic,Quezon City
21-00046,Female,32,BSED-MATH,Private,Single,103753,Born - Again Christian,Taguig City
21-00047,Male,22,BSCS,Public,Separated,122707,Baptist,San Antonio
21-00048,Female,26,BSHM,Public,Married,21301,Born - Again Christian,Kapitolyo
21-00049,Male,17,BSED-FIL,Private,Single Parent,48102,The Church of Jesus Christ of Latter-Day Saints,San Joaquin
21-00050,Male,22,BSIT,Private,Single,8911,Jehovah's Witness,Dela Paz
21-00051,Male,33,BEED,Private,Living with Partner,123723,Iglesia Ni Cristo,Oranbo
21-00052,Female,34,BSCS,Public,Separated,99491,Agnostic,San Jose
21-00053,Male,34,BSA,Private,Single Parent,19291,Members Church of God International,Manggahan
21-00054,Female,27,BSED-MATH,Public,Single Parent,53000,LDS Mormon,Sumilang
21-00055,Male,20,ABPSYCH,Private,Widower,17270,Members Church of God International,San Joaquin
21-00056,Male,33,BEED,Public,Separated,112892,Iglesia Ni Cristo,Mandaluyong City
21-00057,Male,27,BSECE,Public,Single,45012,Jehovah's Witness,Antipolo
21-00058,Male,19,BSHM,Public,Separated,55663,Members Church of God International,Santa Rosa
21-00059,Male,29,ABPSYCH,Public,Married,86087,Aglipay,Sagad
21-00060,Female,28,BSBA,Private,Widower,38323,LDS Mormon,Santolan
21-00061,Male,24,BSECE,Public,Married,79596,Aglipay,San Nicolas
21-00062,Male,17,BSN,Private,Living with Partner,75464,The Church of Jesus Christ of Latter-Day Saints,Bulacan
21-00063,Female,19,BEED,Private,Widower,18945,Methodist,Santolan
21-00064,Male,18,BSN,Private,Married,118593,Jehovah's Witness,Caniogan
21-00065,Male,23,BSA,Private,Married,48408,Jehovah's Witness,"Montalban, Rizal"
21-00066,Female,31,BSIT,Private,Living with Partner,36378,LDS Mormon,San Joaquin
21-00067,Female,34,BSHM,Private,Living with Partner,123485,Born - Again Christian,Marikina City
21-00068,Female,20,BEED,Private,Living with Partner,49782,No Religion,Catanduanes
21-00069,Female,23,BEED,Public,Single Parent,84334,Members Church of God International,Oranbo
21-00070,Female,24,BEED,Public,Single Parent,30190,Agnostic,Taytay
21-00071,Female,24,BSA,Public,Widower,105476,Jehovah's Witness,Marikina City
21-00072,Female,32,BSIT,Public,Married,46784,Islam,Malinao
21-00073,Male,25,BSHM,Private,Separated,25617,Born - Again Christian,San Joaquin
21-00074,Female,31,BSED-ENG,Public,Separated,77424,Born - Again Christian,Kapasigan
21-00075,Female,17,BSED-MATH,Public,Married,62401,Baptist,Teresa
21-00076,Male,16,BSED-ENG,Public,Single,134044,Members Church of God International,Cavite
21-00077,Male,20,BSED-FIL,Private,Widower,95555,Agnostic,Santa Lucia
21-00078,Female,16,BSED-MATH,Private,Separated,86385,Jehovah's Witness,San Antonio
21-00079,Female,20,BEED,Public,Separated,59341,Atheist,Pinagbuhatan
21-00080,Female,32,BSED-MATH,Private,Widower,103959,Roman Catholic,Bulacan
21-00081,Male,29,BSED-FIL,Private,Living with Partner,58977,Members Church of God International,San Jose
21-00082,Male,35,BSIT,Private,Widower,22549,Islam,Caniogan
21-00083,Male,32,BSN,Private,Separated,116885,Methodist,Malinao
21-00084,Male,24,BSBA,Public,Separated,110017,World Mission Society Church of God,Palatiw
21-00085,Female,19,BSHM,Public,Separated,50656,Baptist,Dela Paz
21-00086,Male,22,BSED-MATH,Public,Married,134580,Undetermined,Marikina City
21-00087,Male,24,BSN,Public,Separated,70537,Methodist,Manggahan
21-00088,Female,27,BEED,Private,Living with Partner,94403,LDS Mormon,Bambang
21-00089,Male,33,BSBA,Private,Widower,139606,Agnostic,Maybunga
21-00090,Male,22,BEED,Public,Single Parent,72550,Born - Again Christian,Palatiw
21-00091,Female,23,BSBA,Public,Living with Partner,120053,No Religion,Caniogan
21-00092,Male,19,BSECE,Private,Widower,64997,Seventh-Day Adventist,Pateros
21-00093,Female,27,BSN,Public,Single,112713,Methodist,Taytay
21-00094,Male,27,BSED-MATH,Public,Widower,70551,World Mission Society Church of God,Pinagbuhatan
21-00095,Female,16,BSA,Private,Separated,45417,Iglesia Ni Cristo,Binangonan
21-00096,Female,25,BSBA,Public,Separated,49733,Methodist,Kalawaan
21-00097,Female,28,BSN,Private,Separated,127859,Islam,Teresa
21-00098,Female,26,ABPSYCH,Public,Living with Partner,132876,The Church of Jesus Christ of Latter-Day Saints,Ugong
21-00099,Female,26,BSED-FIL,Private,Single,91372,World Mission Society Church of God,Kalawaan
21-00100,Female,28,BSA,Public,Single Parent,91100,LDS Mormon,Ugong
21-00101,Male,19,BEED,Private,Married,120055,Members Church of God International,Kapitolyo
21-00102,Female,33,BSED-FIL,Private,Married,78335,Islam,Santa Lucia
21-00103,Female,29,BSCS,Private,Married,44558,Agnostic,Catanduanes
21-00104,Female,20,ABPSYCH,Public,Married,106704,Roman Catholic,Manggahan
21-00105,Male,34,BSECE,Public,Single,78196,The Church of Jesus Christ of Latter-Day Saints,Kapasigan
21-00106,Male,16,BSIT,Private,Separated,38863,LDS Mormon,Bulacan
21-00107,Female,18,BSN,Public,Living with Partner,42435,Seventh-Day Adventist,Palatiw
21-00108,Female,18,BSHM,Private,Separated,43687,No Religion,Kapasigan
21-00109,Female,34,BSED-ENG,Private,Married,78265,LDS Mormon,Bambang
21-00110,Female,19,ABPSYCH,Private,Single,93451,Atheist,Binangonan
21-00111,Female,17,BSHM,Public,Married,111349,The Church of Jesus Christ of Latter-Day Saints,Bambang
21-00112,Male,26,BSN,Public,Single,27889,Baptist,Malinao
21-00113,Male,19,BSA,Private,Married,20922,World Mission Society Church of God,Taytay
21-00114,Female,17,BSED-MATH,Private,Widower,111458,Undetermined,Oranbo
21-00115,Male,31,BSHM,Private,Single Parent,80594,Agnostic,Pineda
21-00116,Female,16,BEED,Public,Single Parent,75054,Baptist,Bagong Ilog
21-00117,Female,34,BSHM,Private,Widower,15503,Born - Again Christian,Binangonan
21-00118,Male,26,BSIT,Private,Single,80581,World Mission Society Church of God,Catanduanes
21-00119,Male,21,BSHM,Public,Married,50222,Born - Again Christian,Maybunga
21-00120,Male,28,BSECE,Public,Single,136612,Methodist,Buting
21-00121,Female,25,ABPSYCH,Public,Separated,105988,World Mission Society Church of God,Santa Lucia
21-00122,Female,34,BSIT,Private,Separated,56140,Agnostic,Cavite
21-00123,Female,33,BSECE,Public,Widower,66730,Seventh-Day Adventist,Binangonan
21-00124,Male,32,BSED-ENG,Public,Married,67092,Undetermined,Antipolo
21-00125,Female,21,BSIT,Public,Single,102138,Agnostic,Cainta
21-00126,Male,16,BSA,Public,Separated,35406,Seventh-Day Adventist,Bagong Ilog
21-00127,Female,28,BEED,Private,Single Parent,72987,Roman Catholic,Pinagbuhatan
21-00128,Male,19,BSHM,Private,Separated,81020,Iglesia Ni Cristo,Rosario
21-00129,Male,18,BSED-ENG,Private,Widower,117957,Born - Again Christian,Santa Rosa
21-00130,Male,16,BSED-FIL,Private,Single Parent,18230,Aglipay,Binangonan
21-00131,Female,17,BSED-ENG,Public,Single Parent,34658,World Mission Society Church of God,Rosario
21-00132,Male,17,BEED,Private,Living with Partner,61403,Undetermined,Antipolo
21-00133,Female,19,BSHM,Public,Single,40122,Roman Catholic,Taytay
21-00134,Female,20,BSHM,Public,Married,93836,No Religion,Cainta
21-00135,Male,35,BEED,Public,Single,108134,Undetermined,Bagong Ilog
21-00136,Female,33,BSBA,Public,Married,24234,Atheist,Binangonan
21-00137,Male,24,BSED-MATH,Private,Married,29696,No Religion,Ugong
21-00138,Female,32,BSBA,Private,Married,68804,Jehovah's Witness,Cainta
21-00139,Female,34,ABPSYCH,Public,Single Parent,118980,Members Church of God International,Cainta
21-00140,Female,23,BSHM,Private,Single,122723,Members Church of God International,Kapitolyo
21-00141,Female,35,BSHM,Public,Single Parent,111535,Protestant/Pentecostal,Cavite
21-00142,Female,16,BSBA,Public,Separated,48948,No Religion,Bagong Katipunan
21-00143,Male,17,BEED,Public,Separated,27733,Undetermined,Palatiw
21-00144,Female,22,BSHM,Public,Single Parent,54616,The Church of Jesus Christ of Latter-Day Saints,Buting
21-00145,Male,33,BEED,Public,Single,51572,No Religion,Teresa
21-00146,Female,25,BSED-MATH,Public,Widower,17633,Aglipay,Malinao
21-00147,Female,27,BSED-FIL,Private,Single Parent,126949,LDS Mormon,Ugong
21-00148,Male,33,BSIT,Public,Widower,19425,Protestant/Pentecostal,San Joaquin
21-00149,Female,32,BSA,Public,Widower,29341,Roman Catholic,Antipolo
21-00150,Male,21,ABPSYCH,Public,Married,34107,World Mission Society Church of God,Binangonan
21-00151,Female,23,BSCS,Public,Single Parent,46313,Iglesia Ni Cristo,Bagong Ilog
21-00152,Male,27,BSED-FIL,Private,Married,95242,World Mission Society Church of God,Mandaluyong City
21-00153,Male,19,BSN,Public,Separated,71102,World Mission Society Church of God,San Joaquin
21-00154,Male,28,BSN,Public,Living with Partner,28899,Protestant/Pentecostal,Quezon City
21-00155,Male,20,BSBA,Private,Separated,93187,No Religion,San Joaquin
21-00156,Female,27,BSED-FIL,Private,Single Parent,107854,Iglesia Ni Cristo,San Jose
21-00157,Female,32,BSED-FIL,Public,Widower,39017,Roman Catholic,Dela Paz
21-00158,Male,33,ABPSYCH,Public,Separated,61101,Jehovah's Witness,Kapitolyo
21-00159,Female,17,BEED,Public,Single Parent,58757,Members Church of God International,Cavite
21-00160,Male,22,BSA,Public,Single,105500,Methodist,San Nicolas
21-00161,Female,25,BEED,Public,Married,121057,Islam,Marikina City
21-00162,Female,33,BEED,Private,Married,58226,Jehovah's Witness,Santa Rosa
21-00163,Female,25,BSCS,Private,Single Parent,48487,Aglipay,San Nicolas
21-00164,Female,22,BSED-MATH,Private,Single Parent,28323,Baptist,Cavite
21-00165,Male,32,BSECE,Public,Married,61769,LDS Mormon,Sumilang
21-00166,Male,21,BSED-FIL,Public,Married,80817,Jehovah's Witness,Caniogan
21-00167,Male,25,BSED-MATH,Public,Married,20758,Atheist,Santa Rosa
21-00168,Male,31,BSN,Private,Single Parent,95938,Atheist,Maybunga
21-00169,Female,19,BEED,Private,Married,126521,Agnostic,Teresa
21-00170,Male,31,BSN,Public,Single Parent,34602,Members Church of God International,Manggahan
21-00171,Female,32,BSCS,Public,Living with Partner,115123,Seventh-Day Adventist,Teresa
21-00172,Male,30,BSIT,Private,Separated,122488,Agnostic,Pateros
21-00173,Male,19,BSIT,Public,Single,37985,LDS Mormon,Santolan
21-00174,Female,33,BSECE,Public,Married,103384,The Church of Jesus Christ of Latter-Day Saints,Santo Tomas
21-00175,Male,35,BSIT,Public,Living with Partner,61272,LDS Mormon,Pateros
21-00176,Male,35,BSCS,Private,Widower,73391,Seventh-Day Adventist,Bulacan
21-00177,Male,17,ABPSYCH,Private,Married,27925,LDS Mormon,Pinagbuhatan
21-00178,Female,22,BSIT,Public,Single,102561,Atheist,Cavite
21-00179,Male,33,BSCS,Public,Married,64262,No Religion,Santa Lucia
21-00180,Male,23,BSECE,Public,Single,62772,Members Church of God International,Antipolo
21-00181,Male,17,BSED-MATH,Public,Single Parent,63527,World Mission Society Church of God,San Nicolas
21-00182,Male,20,BSHM,Private,Living with Partner,33532,No Religion,San Jose
21-00183,Male,17,BSA,Public,Separated,135967,Iglesia Ni Cristo,Santolan
21-00184,Male,35,BSED-FIL,Public,Married,86541,Aglipay,Santo Tomas
21-00185,Male,22,BSA,Private,Single Parent,69740,Aglipay,Santo Tomas
21-00186,Male,24,BSN,Private,Living with Partner,125828,Baptist,Bambang
21-00187,Male,30,BSA,Public,Married,66682,Methodist,Oranbo
21-00188,Female,31,BSIT,Private,Single,49052,Born - Again Christian,Pineda
21-00189,Female,27,ABPSYCH,Public,Married,83819,No Religion,Taguig City
21-00190,Male,25,BSED-MATH,Public,Widower,62526,Atheist,"Montalban, Rizal"
21-00191,Female,31,BSHM,Public,Married,84647,World Mission Society Church of God,Santolan
21-00192,Female,20,BSECE,Public,Widower,14992,Islam,Taguig City
21-00193,Male,34,BSHM,Private,Single Parent,128844,Members Church of God International,Sagad
21-00194,Male,29,BEED,Public,Single,71687,Methodist,Pinagbuhatan
21-00195,Female,26,ABPSYCH,Public,Separated,82925,Agnostic,Taguig City
21-00196,Female,30,BSA,Public,Separated,138225,Agnostic,San Nicolas
21-00197,Male,35,BEED,Private,Separated,31513,Roman Catholic,Malinao
21-00198,Male,19,BSA,Public,Single Parent,52360,Aglipay,Teresa
21-00199,Female,24,BSED-FIL,Public,Living with Partner,55187,Aglipay,Marikina City
21-00200,Female,21,BSECE,Private,Separated,100218,Iglesia Ni Cristo,Taytay
21-00201,Female,27,BSA,Private,Single Parent,34085,Aglipay,Sagad
21-00202,Female,17,BSHM,Public,Married,89536,No Religion,Sagad
21-00203,Female,21,BSECE,Public,Single Parent,120814,World Mission Society Church of God,Teresa
21-00204,Female,28,BSECE,Private,Widower,115232,Atheist,Sagad
21-00205,Female,17,BSED-MATH,Private,Married,131986,Agnostic,Binangonan
21-00206,Male,19,BSN,Public,Married,112510,Undetermined,Santa Cruz
21-00207,Male,32,BSED-ENG,Public,Widower,39774,No Religion,Santolan
21-00208,Male,26,BSA,Private,Married,65277,Islam,Santa Cruz
21-00209,Female,30,BSED-MATH,Public,Widower,38131,Members Church of God International,Sagad
21-00210,Male,31,BSA,Private,Married,97929,Methodist,Buting
21-00211,Male,28,BSN,Public,Single Parent,104506,No Religion,Bambang
21-00212,Male,16,ABPSYCH,Public,Separated,76169,Roman Catholic,Santolan
21-00213,Male,24,BSHM,Private,Widower,85920,Islam,Sagad
21-00214,Female,20,BSED-ENG,Public,Single,26876,Undetermined,Kapitolyo
21-00215,Female,32,BSHM,Public,Separated,74076,Methodist,Palatiw
21-00216,Male,25,BSHM,Private,Living with Partner,100853,Agnostic,Cavite
21-00217,Female,28,BSHM,Private,Married,135713,Born - Again Christian,Antipolo
21-00218,Male,29,BSCS,Public,Single Parent,95646,LDS Mormon,"Montalban, Rizal"
21-00219,Male,31,BSCS,Private,Single,100153,Islam,Bagong Katipunan
21-00220,Male,21,BSN,Private,Widower,8148,Islam,Bagong Katipunan
21-00221,Male,34,BEED,Private,Living with Partner,26413,Islam,Manggahan
21-00222,Female,27,BSECE,Public,Single,76864,Jehovah's Witness,Sagad
21-00223,Male,25,BSED-MATH,Private,Married,107362,Atheist,Buting
21-00224,Male,23,BSCS,Private,Separated,47066,Protestant/Pentecostal,Santo Tomas
21-00225,Male,28,BSECE,Private,Single,65529,Atheist,"Montalban, Rizal"
21-00226,Female,21,ABPSYCH,Public,Widower,15889,The Church of Jesus Christ of Latter-Day Saints,Bagong Ilog
21-00227,Male,28,BSIT,Public,Widower,61973,Undetermined,Rosario
21-00228,Female,20,BSED-FIL,Public,Single,61650,Baptist,San Miguel
21-00229,Male,32,BSED-FIL,Private,Widower,53184,Iglesia Ni Cristo,Pineda
21-00230,Female,21,BSHM,Private,Living with Partner,64259,Undetermined,Santo Tomas
21-00231,Male,19,BSA,Private,Single,96803,Undetermined,Kalawaan
21-00232,Female,26,BSA,Public,Single Parent,47680,Undetermined,Bagong Katipunan
21-00233,Female,22,BSED-FIL,Private,Widower,37282,Jehovah's Witness,Pineda
21-00234,Male,30,BSIT,Private,Living with Partner,87313,World Mission Society Church of God,Caniogan
21-00235,Male,19,BSED-MATH,Private,Single,136684,Born - Again Christian,Santa Cruz
21-00236,Male,17,BEED,Public,Single,75621,Born - Again Christian,San Nicolas
21-00237,Female,20,BSBA,Public,Living with Partner,93750,Aglipay,Catanduanes
21-00238,Female,31,BEED,Private,Single Parent,135622,Protestant/Pentecostal,Mandaluyong City
21-00239,Male,20,ABPSYCH,Public,Living with Partner,115500,Islam,Buting
21-00240,Male,33,BEED,Private,Married,48002,Iglesia Ni Cristo,Bagong Katipunan
21-00241,Female,17,BSIT,Public,Separated,42217,World Mission Society Church of God,San Jose
21-00242,Female,29,BSECE,Public,Single,72993,Roman Catholic,Pineda
21-00243,Male,22,BSIT,Private,Single,89624,Roman Catholic,Catanduanes
21-00244,Male,22,BSHM,Public,Single,60805,LDS Mormon,San Joaquin
21-00245,Female,32,BSN,Private,Single,113649,Methodist,Sumilang
21-00246,Male,33,BSN,Public,Single Parent,23076,Iglesia Ni Cristo,Catanduanes
21-00247,Female,32,BEED,Private,Married,25531,The Church of Jesus Christ of Latter-Day Saints,Binangonan
21-00248,Female,19,BSIT,Public,Single Parent,45680,Seventh-Day Adventist,Oranbo
21-00249,Female,26,BSED-FIL,Private,Married,114337,Iglesia Ni Cristo,Sagad
21-00250,Female,20,ABPSYCH,Private,Single,24559,Baptist,Palatiw
21-00251,Female,20,BSCS,Private,Widower,10249,Members Church of God International,San Jose
21-00252,Male,29,BSED-MATH,Private,Living with Partner,55382,Born - Again Christian,Bulacan
21-00253,Male,20,BSED-ENG,Public,Married,103712,Jehovah's Witness,Binangonan
21-00254,Male,19,BSA,Public,Single Parent,102583,Aglipay,Palatiw
21-00255,Female,16,BSHM,Private,Married,109406,Undetermined,Taytay
21-00256,Female,32,BSECE,Private,Separated,38577,Islam,Pineda
21-00257,Female,24,BSN,Private,Living with Partner,114124,Members Church of God International,Taguig City
21-00258,Male,35,BSECE,Public,Widower,89663,Members Church of God International,Catanduanes
21-00259,Female,18,BEED,Public,Single,134192,World Mission Society Church of God,San Joaquin
21-00260,Female,30,BSN,Public,Widower,46123,Members Church of God International,Santo Tomas
21-00261,Female,35,BEED,Public,Married,110848,Atheist,Bagong Ilog
21-00262,Female,27,BEED,Private,Separated,132719,Seventh-Day Adventist,Bambang
21-00263,Male,32,BSHM,Private,Married,73203,Atheist,San Jose
21-00264,Female,20,BSED-ENG,Private,Single Parent,19419,Seventh-Day Adventist,Dela Paz
21-00265,Female,25,BSBA,Private,Living with Partner,77834,Methodist,Buting
21-00266,Female,34,BSN,Private,Separated,45742,Born - Again Christian,Manggahan
21-00267,Male,26,BSN,Public,Separated,106856,Seventh-Day Adventist,Santa Lucia
21-00268,Male,20,BSBA,Private,Single,57270,Atheist,Kapasigan
21-00269,Female,27,BSCS,Public,Single Parent,41747,Roman Catholic,Caniogan
21-00270,Male,34,BSECE,Public,Widower,54440,Roman Catholic,Binangonan
21-00271,Male,31,BSED-ENG,Public,Living with Partner,67502,No Religion,Quezon City
21-00272,Female,34,BSCS,Private,Single Parent,72333,Baptist,Pinagbuhatan
21-00273,Female,23,BSECE,Public,Living with Partner,28221,Agnostic,Kapasigan
21-00274,Male,34,BSCS,Public,Single Parent,53108,Atheist,Manggahan
21-00275,Male,29,BSED-FIL,Private,Widower,69917,Baptist,San Jose
21-00276,Male,24,BSN,Private,Living with Partner,47490,The Church of Jesus Christ of Latter-Day Saints,Antipolo
21-00277,Male,19,BSCS,Private,Living with Partner,108936,Seventh-Day Adventist,"Montalban, Rizal"
21-00278,Female,23,ABPSYCH,Private,Separated,13798,Agnostic,Santolan
21-00279,Male,25,BSED-FIL,Private,Single,45377,Methodist,Santolan
21-00280,Male,30,BSED-FIL,Private,Separated,98630,Members Church of God International,Pinagbuhatan
21-00281,Female,25,BSN,Private,Single Parent,87626,Protestant/Pentecostal,Marikina City
21-00282,Male,17,BSED-FIL,Public,Single Parent,77427,Roman Catholic,Bulacan
21-00283,Female,21,BSCS,Public,Single,129779,Protestant/Pentecostal,Santa Cruz
21-00284,Male,24,BSED-ENG,Private,Living with Partner,111120,Baptist,Pateros
21-00285,Male,22,BSBA,Public,Living with Partner,79991,Methodist,Quezon City
21-00286,Female,32,BSHM,Public,Single Parent,69955,Jehovah's Witness,Teresa
21-00287,Female,25,BSBA,Public,Separated,38477,Members Church of God International,Kalawaan
21-00288,Female,19,BSBA,Public,Single Parent,77829,LDS Mormon,Bagong Katipunan
21-00289,Female,21,BSED-MATH,Private,Single,41083,Atheist,Ugong
21-00290,Female,35,BSBA,Private,Married,94722,Islam,Antipolo
21-00291,Female,32,BSCS,Public,Single Parent,51970,Seventh-Day Adventist,Bagong Katipunan
21-00292,Male,27,BSN,Private,Single,11199,Undetermined,Kapitolyo
21-00293,Female,20,BSIT,Private,Single Parent,16984,Born - Again Christian,San Antonio
21-00294,Male,31,BSED-MATH,Public,Single,31347,Islam,Antipolo
21-00295,Female,16,BSIT,Private,Living with Partner,139620,Islam,Santa Cruz
21-00296,Female,34,BSED-ENG,Private,Widower,113269,The Church of Jesus Christ of Latter-Day Saints,San Joaquin
21-00297,Male,19,BSED-FIL,Private,Separated,8136,LDS Mormon,Bagong Ilog
21-00298,Female,18,BSED-FIL,Public,Widower,87020,Seventh-Day Adventist,Marikina City
21-00299,Female,23,BSHM,Public,Single Parent,113746,No Religion,San Nicolas
21-00300,Male,31,BSBA,Private,Single Parent,67476,Atheist,Bagong Katipunan
21-00301,Male,28,BSIT,Public,Living with Partner,69731,Protestant/Pentecostal,Oranbo
21-00302,Male,27,BSIT,Public,Married,14374,Methodist,Santolan
21-00303,Female,22,BSED-ENG,Public,Married,37422,Islam,Pateros
21-00304,Male,22,BSHM,Public,Single Parent,110907,Atheist,Malinao
21-00305,Male,17,BSED-FIL,Private,Single,87958,Jehovah's Witness,Marikina City
21-00306,Female,23,BSED-ENG,Public,Single,121774,The Church of Jesus Christ of Latter-Day Saints,Antipolo
21-00307,Male,21,BSED-MATH,Private,Widower,96642,Aglipay,Marikina City
21-00308,Female,26,BSED-ENG,Public,Single Parent,62018,World Mission Society Church of God,San Nicolas
21-00309,Male,24,BSBA,Private,Widower,101015,Atheist,San Joaquin
21-00310,Female,23,BSN,Private,Widower,110792,Baptist,Kapasigan
21-00311,Female,20,BEED,Public,Married,129077,The Church of Jesus Christ of Latter-Day Saints,San Nicolas
21-00312,Female,33,BSA,Public,Single Parent,97245,The Church of Jesus Christ of Latter-Day Saints,San Jose
21-00313,Female,34,BSED-FIL,Private,Widower,18084,No Religion,San Nicolas
21-00314,Female,20,BSBA,Public,Single,91873,Agnostic,Santolan
21-00315,Female,33,BSHM,Private,Widower,19816,Protestant/Pentecostal,Dela Paz
21-00316,Female,30,BSN,Private,Single Parent,107118,World Mission Society Church of God,Antipolo
21-00317,Male,23,BSIT,Public,Married,80719,Baptist,Oranbo
21-00318,Female,32,ABPSYCH,Public,Widower,9699,No Religion,Bambang
21-00319,Male,22,BSCS,Private,Living with Partner,19582,Atheist,Taytay
21-00320,Female,25,ABPSYCH,Private,Married,102847,Methodist,Santa Rosa
21-00321,Female,29,BSA,Private,Single Parent,61670,Seventh-Day Adventist,Santolan
21-00322,Female,23,BSECE,Public,Living with Partner,15368,Baptist,Quezon City
21-00323,Female,30,BSIT,Public,Single,22732,Members Church of God International,Santolan
21-00324,Male,22,BSCS,Private,Living with Partner,23275,Members Church of God International,San Nicolas
21-00325,Male,17,BSECE,Public,Living with Partner,62683,Members Church of God International,Santa Cruz
21-00326,Male,24,BSIT,Public,Living with Partner,118737,Undetermined,Antipolo
21-00327,Female,17,BSED-FIL,Public,Single,82095,No Religion,Rosario
21-00328,Male,22,BEED,Private,Separated,100133,Undetermined,Quezon City
21-00329,Female,18,BEED,Public,Living with Partner,124501,World Mission Society Church of God,Pineda
21-00330,Male,29,BSED-ENG,Public,Living with Partner,64058,Baptist,Manggahan
21-00331,Female,29,ABPSYCH,Public,Married,37814,Members Church of God International,Pineda
21-00332,Male,20,BSA,Public,Single,86660,Members Church of God International,Taguig City
21-00333,Male,17,BSN,Public,Living with Partner,91749,LDS Mormon,Teresa
21-00334,Female,31,BSED-MATH,Public,Married,138468,Baptist,Manggahan
21-00335,Male,27,BSECE,Private,Separated,98170,Undetermined,Buting
21-00336,Female,23,BSHM,Public,Widower,82941,Islam,Binangonan
21-00337,Female,17,BSA,Private,Separated,105935,The Church of Jesus Christ of Latter-Day Saints,Kapasigan
21-00338,Male,20,BSBA,Public,Separated,106434,Atheist,San Antonio
21-00339,Female,27,BSBA,Private,Widower,109991,LDS Mormon,Bambang
21-00340,Female,23,BSED-MATH,Public,Single Parent,72081,Undetermined,Caniogan
21-00341,Male,33,BSA,Private,Married,23921,Members Church of God International,San Jose
