studentID,gender,age,course,feederSchoolType,civilStatus,familyMonthlyIncome,religion,barangay
21-00057,Male,16,BSN,Private,Separated,95160,Jehovah's Witness,Taguig City
21-00058,Female,35,BSA,Private,Living with Partner,98079,Undetermined,Santo Tomas
21-00059,Female,19,BSED-ENG,Private,Widower,34209,Jehovah's Witness,Kapasigan
21-00060,Male,34,BSECE,Public,Single Parent,26188,Aglipay,Cainta
21-00061,Male,32,BSIT,Public,Single,25877,Islam,Manggahan
21-00062,Female,29,BSCS,Public,Married,41737,Islam,San Antonio
21-00063,Female,19,BSBA,Private,Widower,113876,Islam,Pinagbuhatan
21-00064,Female,24,BSHM,Private,Separated,16279,Methodist,Taytay
21-00065,Male,18,BSED-MATH,Private,Widower,52034,Methodist,Sagad
21-00066,Female,21,BSECE,Private,Separated,77282,Roman Catholic,Caniogan
21-00067,Female,27,BSHM,Private,Single,49576,Members Church of God International,San Joaquin
21-00068,Male,18,BSED-FIL,Public,Single,88908,Islam,Caniogan
21-00069,Male,20,BSCS,Private,Widower,34790,Islam,San Miguel
21-00070,Female,21,BSED-ENG,Private,Widower,113365,Protestant/Pentecostal,Malinao
21-00071,Male,32,BSA,Public,Single,117513,Protestant/Pentecostal,Kapasigan
21-00072,Male,22,BSN,Private,Single,119601,LDS Mormon,Oranbo
21-00073,Male,26,BSED-ENG,Public,Widower,129749,No Religion,San Miguel
21-00074,Female,24,BSED-FIL,Public,Widower,125325,Atheist,Bagong Ilog
21-00075,Male,34,BSBA,Public,Widower,106411,Seventh-Day Adventist,San Antonio
21-00076,Male,20,BSN,Public,Widower,28828,Roman Catholic,San Antonio
21-00077,Male,19,BSBA,Private,Married,89542,Agnostic,Santa Rosa
21-00078,Male,29,BSED-ENG,Private,Separated,56271,Methodist,Bambang
21-00079,Male,20,BSED-ENG,Private,Single,12482,Atheist,Pineda
21-00080,Female,25,BSHM,Private,Single,82142,Methodist,Santolan
21-00081,Male,17,BSN,Public,Separated,101913,Members Church of God International,San Jose
21-00082,Female,17,BSECE,Public,Living with Partner,87215,Baptist,Bulacan
21-00083,Male,32,ABPSYCH,Public,Widower,71353,World Mission Society Church of God,Bambang
21-00084,Female,25,BSBA,Private,Single Parent,90226,Jehovah's Witness,San Nicolas
21-00085,Male,23,BSCS,Private,Widower,120557,The Church of Jesus Christ of Latter-Day Saints,Cainta
21-00086,Male,24,BSED-MATH,Public,Married,33875,Undetermined,Manggahan
21-00087,Female,18,BSN,Public,Separated,78976,World Mission Society Church of God,Malinao
21-00088,Male,22,BSECE,Public,Married,115618,Iglesia Ni Cristo,Bagong Katipunan
21-00089,Female,35,BSED-MATH,Public,Married,17970,Jehovah's Witness,Caniogan
21-00090,Female,20,BSBA,Public,Single,63608,Aglipay,Bagong Ilog
21-00091,Female,35,BSBA,Public,Single,54011,Aglipay,Rosario
21-00092,Male,22,BSED-ENG,Private,Separated,42212,Iglesia Ni Cristo,Taytay
21-00093,Female,18,BSHM,Private,Single,71100,Roman Catholic,San Miguel
21-00094,Male,23,BSBA,Private,Separated,44672,Agnostic,Palatiw
21-00095,Female,29,BSIT,Private,Married,120836,Aglipay,Dela Paz
21-00096,Male,26,BSED-ENG,Public,Married,120111,Islam,San Antonio
21-00097,Female,20,BSHM,Private,Separated,132118,Islam,San Miguel
21-00098,Female,22,BEED,Public,Single,98438,Methodist,Santo Tomas
21-00099,Male,22,ABPSYCH,Public,Widower,114393,Baptist,Maybunga
21-00100,Male,22,BSECE,Private,Widower,73300,Islam,Malinao
21-00101,Female,21,BSIT,Private,Widower,79023,Islam,Caniogan
21-00102,Male,22,BSBA,Private,Single,36013,No Religion,Ugong
21-00103,Male,18,ABPSYCH,Private,Separated,101633,World Mission Society Church of God,San Nicolas
21-00104,Male,23,BEED,Public,Living with Partner,78884,Roman Catholic,Marikina City
21-00105,Male,32,BSIT,Private,Widower,119545,Roman Catholic,Santa Lucia
21-00106,Female,27,BSHM,Public,Separated,58890,Agnostic,San Miguel
21-00107,Female,27,BSBA,Public,Single,48937,The Church of Jesus Christ of Latter-Day Saints,Quezon City
21-00108,Male,33,ABPSYCH,Private,Single Parent,125758,Baptist,Pinagbuhatan
21-00109,Male,18,BSA,Public,Living with Partner,59600,Agnostic,Marikina City
21-00110,Female,21,BEED,Private,Single,80728,Iglesia Ni Cristo,Cavite
21-00111,Male,33,BSED-MATH,Private,Separated,125892,Jehovah's Witness,Santolan
21-00112,Male,20,ABPSYCH,Public,Single Parent,119990,Seventh-Day Adventist,Manggahan
21-00113,Female,33,BSED-ENG,Private,Single,67843,Baptist,Dela Paz
21-00114,Male,25,BSED-ENG,Private,Married,13415,Seventh-Day Adventist,"Montalban, Rizal"
21-00115,Male,19,BSED-ENG,Public,Living with Partner,93981,The Church of Jesus Christ of Latter-Day Saints,Bulacan
21-00116,Female,20,BSBA,Private,Single,52750,Methodist,Teresa
21-00117,Male,34,BSECE,Public,Separated,12072,World Mission Society Church of God,Kalawaan
21-00118,Female,23,BSED-FIL,Public,Widower,112722,Islam,Ugong
21-00119,Male,34,BSED-ENG,Private,Married,28820,Roman Catholic,Taytay
21-00120,Female,33,BSCS,Private,Living with Partner,97754,Undetermined,Quezon City
21-00121,Female,19,BSHM,Public,Widower,15858,Iglesia Ni Cristo,San Joaquin
21-00122,Female,16,BSCS,Public,Single,129668,Seventh-Day Adventist,Palatiw
21-00123,Female,21,BSBA,Public,Married,107981,Members Church of God International,San Jose
21-00124,Male,33,BSHM,Private,Separated,97556,Protestant/Pentecostal,Taytay
21-00125,Male,26,BSN,Private,Single Parent,108190,Baptist,Santo Tomas
21-00126,Female,31,BSN,Private,Separated,78948,World Mission Society Church of God,Bagong Katipunan
21-00127,Female,23,BSED-ENG,Public,Living with Partner,42586,Jehovah's Witness,Palatiw
21-00128,Female,26,BSED-FIL,Private,Married,117147,Protestant/Pentecostal,San Antonio
21-00129,Male,33,BSED-ENG,Private,Married,19936,Seventh-Day Adventist,Kapasigan
21-00130,Female,23,BSA,Public,Living with Partner,65556,LDS Mormon,Bambang
21-00131,Male,19,ABPSYCH,Private,Married,133549,Protestant/Pentecostal,San Miguel
21-00132,Female,19,BSED-ENG,Private,Separated,19172,Aglipay,San Miguel
21-00133,Male,29,BSCS,Private,Widower,36090,LDS Mormon,Caniogan
21-00134,Female,31,BEED,Private,Married,27219,LDS Mormon,Sagad
21-00135,Female,34,BSIT,Public,Single Parent,122050,No Religion,Pateros
21-00136,Male,28,BSED-FIL,Private,Separated,67832,Protestant/Pentecostal,Taytay
21-00137,Female,17,BSED-FIL,Private,Widower,40732,Islam,Quezon City
21-00138,Male,28,BSED-MATH,Private,Married,35903,World Mission Society Church of God,Catanduanes
21-00139,Female,27,BSED-MATH,Private,Living with Partner,108998,Aglipay,Palatiw
21-00140,Male,29,BSCS,Private,Married,121372,Roman Catholic,Kapitolyo
21-00141,Female,34,BSIT,Public,Married,94640,Members Church of God International,Cainta
21-00142,Male,19,BSBA,Private,Single,114398,Roman Catholic,Bagong Ilog
21-00143,Female,29,BSN,Public,Married,36649,Iglesia Ni Cristo,Kapitolyo
21-00144,Female,33,BSA,Public,Single,55780,Undetermined,Santolan
21-00145,Male,29,BSHM,Private,Married,50741,Islam,Binangonan
21-00146,Male,24,BSHM,Public,Separated,54910,Undetermined,Teresa
21-00147,Female,25,ABPSYCH,Private,Single,91290,Protestant/Pentecostal,Oranbo
21-00148,Male,33,BSECE,Private,Single Parent,19909,Methodist,Bagong Katipunan
21-00149,Male,34,ABPSYCH,Public,Single Parent,33634,Atheist,Cainta
21-00150,Female,34,BSBA,Public,Living with Partner,96328,The Church of Jesus Christ of Latter-Day Saints,Maybunga
21-00151,Male,34,BSN,Public,Separated,108885,Roman Catholic,San Antonio
21-00152,Female,35,BSCS,Private,Single Parent,58637,Seventh-Day Adventist,San Miguel
21-00153,Female,30,BSECE,Private,Single Parent,64737,Islam,Rosario
21-00154,Female,35,BEED,Private,Living with Partner,129323,Aglipay,Santo Tomas
21-00155,Male,19,BSED-MATH,Private,Married,58709,No Religion,San Joaquin
21-00156,Female,20,BSA,Public,Married,119563,Baptist,Quezon City
21-00157,Female,17,BSCS,Private,Living with Partner,117138,Seventh-Day Adventist,Marikina City
21-00158,Male,22,BSHM,Public,Widower,108742,Seventh-Day Adventist,Cainta
21-00159,Female,19,BSECE,Public,Married,16638,Seventh-Day Adventist,Taytay
21-00160,Female,20,BSIT,Public,Separated,58588,No Religion,Bagong Ilog
21-00161,Male,33,BSECE,Public,Living with Partner,80946,Agnostic,Pineda
21-00162,Female,25,BSECE,Private,Single Parent,139568,World Mission Society Church of God,San Joaquin
21-00163,Male,21,BSED-MATH,Private,Separated,87291,Undetermined,Palatiw
21-00164,Male,32,BSCS,Private,Separated,81975,World Mission Society Church of God,Kapitolyo
21-00165,Male,35,BSED-ENG,Private,Married,17467,Protestant/Pentecostal,Buting
21-00166,Male,32,BEED,Private,Separated,89416,Jehovah's Witness,Mandaluyong City
21-00167,Female,26,BSED-ENG,Private,Living with Partner,51926,Agnostic,Malinao
21-00168,Female,30,ABPSYCH,Public,Married,74921,LDS Mormon,Oranbo
21-00169,Male,25,BSED-FIL,Public,Single Parent,105903,Baptist,Mandaluyong City
21-00170,Male,26,BSIT,Private,Separated,93863,Protestant/Pentecostal,Santa Rosa
21-00171,Female,21,BSA,Public,Widower,135223,Born - Again Christian,Pinagbuhatan
21-00172,Female,24,BSIT,Public,Separated,110481,Baptist,Kapasigan
21-00173,Female,27,BSCS,Private,Separated,68512,Methodist,Teresa
21-00174,Female,30,ABPSYCH,Public,Married,73105,Seventh-Day Adventist,Bagong Katipunan
21-00175,Male,22,BSED-FIL,Private,Single,102554,No Religion,Maybunga
21-00176,Female,29,BEED,Private,Separated,79513,Born - Again Christian,Santa Lucia
21-00177,Male,25,ABPSYCH,Private,Single Parent,48816,Undetermined,Cavite
21-00178,Female,18,BSN,Public,Widower,72101,Jehovah's Witness,Dela Paz
21-00179,Female,19,BSECE,Public,Living with Partner,22749,World Mission Society Church of God,Malinao
21-00180,Female,23,BEED,Private,Widower,110918,Undetermined,Bagong Katipunan
21-00181,Male,24,BSED-ENG,Public,Married,48789,Methodist,Rosario
21-00182,Male,29,BSECE,Public,Married,50427,Members Church of God International,Caniogan
21-00183,Female,17,ABPSYCH,Public,Living with Partner,108572,Islam,San Antonio
21-00184,Male,19,ABPSYCH,Public,Single Parent,54259,Islam,Santa Cruz
21-00185,Male,16,BSECE,Public,Single,80740,Agnostic,Kalawaan
21-00186,Male,26,BSIT,Private,Living with Partner,103033,Members Church of God International,Santolan
21-00187,Male,19,BSED-ENG,Public,Single,32553,Protestant/Pentecostal,Santolan
21-00188,Male,34,ABPSYCH,Public,Separated,122634,World Mission Society Church of God,Santa Lucia
21-00189,Male,20,BSED-MATH,Private,Single Parent,79835,Baptist,Buting
21-00190,Female,27,BSIT,Private,Single,135609,Roman Catholic,"Montalban, Rizal"
21-00191,Female,27,BSBA,Public,Single,26870,Seventh-Day Adventist,Sagad
21-00192,Female,34,BSCS,Public,Single Parent,73512,Jehovah's Witness,San Nicolas
21-00193,Female,19,BSBA,Private,Single Parent,100617,Methodist,Bagong Katipunan
21-00194,Male,23,BSED-ENG,Private,Separated,86231,Members Church of God International,Kapasigan
21-00195,Female,34,BSIT,Private,Single,71545,World Mission Society Church of God,Sagad
21-00196,Female,29,ABPSYCH,Private,Single,62952,Baptist,Pinagbuhatan
21-00197,Male,24,BSBA,Public,Widower,131511,Atheist,San Jose
21-00198,Female,27,BSHM,Public,Married,20810,Born - Again Christian,Catanduanes
21-00199,Female,20,BSBA,Private,Single Parent,73939,World Mission Society Church of God,Cainta
21-00200,Male,19,BSHM,Private,Separated,79756,Aglipay,San Nicolas
21-00201,Female,25,BEED,Private,Single Parent,132478,Iglesia Ni Cristo,Bagong Ilog
21-00202,Male,19,BSED-FIL,Private,Single Parent,42592,Aglipay,Oranbo
21-00203,Female,26,ABPSYCH,Private,Single,21114,World Mission Society Church of God,Oranbo
21-00204,Male,16,BSN,Public,Single,97348,Agnostic,Palatiw
21-00205,Male,33,BSED-ENG,Public,Separated,80244,Islam,Cainta
21-00206,Male,34,BSCS,Public,Single,72780,Atheist,Pinagbuhatan
21-00207,Male,16,BSBA,Public,Married,30595,Roman Catholic,Taytay
21-00208,Male,17,BSA,Public,Widower,9915,No Religion,"Montalban, Rizal"
21-00209,Female,26,BSED-ENG,Private,Widower,55677,Protestant/Pentecostal,San Miguel
21-00210,Female,26,BSBA,Public,Widower,136318,Protestant/Pentecostal,Ugong
21-00211,Female,18,BSED-MATH,Private,Single Parent,59437,Born - Again Christian,Pineda
21-00212,Male,20,BSED-ENG,Public,Living with Partner,110245,Aglipay,San Jose
21-00213,Female,20,BSN,Public,Single Parent,126903,Agnostic,Taytay
21-00214,Female,20,BSED-FIL,Public,Married,46021,Methodist,Manggahan
21-00215,Female,28,BEED,Private,Separated,49277,Members Church of God International,Ugong
21-00216,Female,21,BSED-FIL,Public,Separated,12331,Undetermined,Sagad
21-00217,Female,27,BSED-ENG,Private,Single,134840,Born - Again Christian,Marikina City
21-00218,Male,25,BEED,Private,Married,37656,Atheist,Santa Lucia
21-00219,Male,35,ABPSYCH,Public,Single,73547,Born - Again Christian,"Montalban, Rizal"
21-00220,Female,23,BSA,Public,Single,126146,Iglesia Ni Cristo,Buting
21-00221,Female,27,BSED-FIL,Private,Separated,90504,Atheist,Sagad
21-00222,Male,26,BSN,Public,Single Parent,125322,Baptist,Ugong
21-00223,Male,23,BSED-FIL,Public,Married,105194,No Religion,Sagad
21-00224,Male,21,BSED-MATH,Public,Separated,99204,Islam,Kalawaan
21-00225,Male,20,BSN,Public,Married,74432,Undetermined,Bambang
21-00226,Female,34,BSIT,Public,Widower,122534,The Church of Jesus Christ of Latter-Day Saints,Malinao
21-00227,Male,18,BSED-FIL,Public,Living with Partner,24566,Roman Catholic,Santa Lucia
21-00228,Female,25,BSBA,Public,Widower,38509,LDS Mormon,Catanduanes
21-00229,Female,16,BEED,Public,Living with Partner,79728,LDS Mormon,Rosario
21-00230,Male,22,BEED,Private,Widower,42798,The Church of Jesus Christ of Latter-Day Saints,Santa Rosa
21-00231,Male,23,BSIT,Private,Single,35768,Seventh-Day Adventist,Santa Cruz
21-00232,Male,30,BSED-ENG,Public,Married,57321,Iglesia Ni Cristo,Pateros
21-00233,Female,20,BSECE,Private,Single,38322,Islam,Antipolo
21-00234,Female,28,ABPSYCH,Public,Married,99532,Seventh-Day Adventist,Binangonan
21-00235,Female,20,BSED-FIL,Public,Living with Partner,22292,Members Church of God International,Buting
21-00236,Male,35,BSHM,Private,Living with Partner,63709,No Religion,Santo Tomas
21-00237,Female,23,BSN,Private,Widower,53064,Born - Again Christian,Bulacan
21-00238,Male,26,BSED-ENG,Public,Single,60661,Protestant/Pentecostal,Sagad
21-00239,Male,18,BSIT,Public,Single Parent,20022,No Religion,Kapitolyo
21-00240,Female,30,BSIT,Public,Married,19677,Members Church of God International,San Joaquin
21-00241,Female,21,BSHM,Private,Separated,22021,Roman Catholic,Manggahan
21-00242,Female,16,BSBA,Private,Widower,10493,LDS Mormon,Teresa
21-00243,Female,28,BEED,Private,Married,8451,Seventh-Day Adventist,"Montalban, Rizal"
21-00244,Female,25,BSN,Public,Separated,13717,Atheist,San Antonio
21-00245,Male,19,BSIT,Public,Living with Partner,130969,Born - Again Christian,Caniogan
21-00246,Male,22,BSN,Public,Single Parent,18412,Islam,San Joaquin
21-00247,Female,21,BSA,Public,Separated,74965,Aglipay,San Joaquin
21-00248,Female,19,BSCS,Public,Single,19791,Members Church of God International,Kapitolyo
21-00249,Male,23,BEED,Private,Separated,38011,Protestant/Pentecostal,Palatiw
21-00250,Female,25,BSA,Public,Single Parent,100032,Agnostic,San Joaquin
21-00251,Female,19,BSHM,Private,Single,55381,Members Church of God International,Santa Rosa
21-00252,Male,28,BEED,Public,Single,119876,Undetermined,Caniogan
21-00253,Male,28,BSED-MATH,Private,Single,17589,Atheist,"Montalban, Rizal"
21-00254,Female,24,BSN,Private,Living with Partner,29389,Aglipay,Buting
21-00255,Female,22,BSIT,Private,Separated,120174,The Church of Jesus Christ of Latter-Day Saints,Catanduanes
21-00256,Male,35,BSA,Public,Widower,77727,Jehovah's Witness,Dela Paz
21-00257,Female,16,BSIT,Public,Married,82519,Agnostic,Pineda
21-00258,Male,32,BSN,Private,Married,126055,Agnostic,Malinao
21-00259,Female,33,BSED-MATH,Private,Married,89134,Atheist,Antipolo
21-00260,Female,23,BSHM,Private,Separated,78621,Baptist,Caniogan
21-00261,Female,34,BSED-MATH,Public,Single Parent,68787,Born - Again Christian,Oranbo
21-00262,Male,34,BSED-FIL,Private,Widower,114096,Agnostic,Santa Rosa
21-00263,Female,25,BEED,Private,Single Parent,76989,Methodist,Maybunga
21-00264,Female,21,BSA,Public,Separated,8139,No Religion,Bagong Katipunan
21-00265,Male,25,BSED-ENG,Public,Living with Partner,101409,Jehovah's Witness,Manggahan
21-00266,Male,26,BSED-FIL,Public,Married,114848,Undetermined,San Jose
21-00267,Male,35,BSA,Private,Married,81979,Born - Again Christian,Bagong Katipunan
21-00268,Male,29,BSED-MATH,Private,Separated,28854,Undetermined,Malinao
21-00269,Male,25,ABPSYCH,Private,Separated,96288,Aglipay,Caniogan
21-00270,Female,16,BSIT,Private,Single Parent,79920,Jehovah's Witness,Antipolo
21-00271,Female,24,BEED,Private,Single Parent,8496,Seventh-Day Adventist,Santo Tomas
21-00272,Male,23,BSBA,Public,Married,19655,No Religion,Kapitolyo
21-00273,Male,21,BSN,Public,Separated,59479,Born - Again Christian,Kapasigan
21-00274,Male,30,BSCS,Private,Single Parent,136783,Islam,Teresa
21-00275,Male,16,BSBA,Private,Living with Partner,118994,Islam,Pinagbuhatan
21-00276,Female,23,BSED-MATH,Public,Single Parent,68863,World Mission Society Church of God,San Antonio
21-00277,Female,20,BSECE,Public,Single,57509,Aglipay,Dela Paz
21-00278,Male,16,BSN,Private,Widower,123501,Islam,Kalawaan
21-00279,Female,27,BSED-ENG,Public,Single Parent,18790,World Mission Society Church of God,Kalawaan
21-00280,Male,17,BSED-ENG,Public,Widower,102407,World Mission Society Church of God,Oranbo
21-00281,Male,24,BEED,Private,Single,56287,Undetermined,Sagad
21-00282,Female,19,ABPSYCH,Public,Living with Partner,61804,Seventh-Day Adventist,Caniogan
21-00283,Male,27,BSED-ENG,Private,Living with Partner,22175,Protestant/Pentecostal,Kalawaan
21-00284,Male,30,BSHM,Private,Widower,20308,Jehovah's Witness,Caniogan
21-00285,Male,31,BSA,Public,Single,84541,Roman Catholic,San Joaquin
21-00286,Male,34,BEED,Private,Separated,105290,Born - Again Christian,Mandaluyong City
21-00287,Male,35,BSA,Private,Single Parent,81184,Members Church of God International,Santa Rosa
21-00288,Male,19,BSIT,Private,Married,129915,Methodist,Antipolo
21-00289,Female,35,BSCS,Private,Living with Partner,112688,Islam,Pinagbuhatan
21-00290,Male,26,BSN,Private,Widower,91294,World Mission Society Church of God,Pateros
21-00291,Female,27,BEED,Private,Separated,133457,Protestant/Pentecostal,Oranbo
21-00292,Male,34,BEED,Private,Single,53210,Members Church of God International,Mandaluyong City
21-00293,Male,24,BSBA,Private,Separated,52966,Members Church of God International,Catanduanes
21-00294,Female,20,BSBA,Public,Living with Partner,103530,Born - Again Christian,Santa Rosa
21-00295,Male,25,BSED-ENG,Private,Widower,39806,Iglesia Ni Cristo,Buting
21-00296,Male,18,BSCS,Public,Living with Partner,112405,Islam,San Antonio
21-00297,Female,25,BSED-FIL,Public,Single Parent,33167,Protestant/Pentecostal,Santa Lucia
21-00298,Female,35,BSA,Private,Single Parent,133965,Undetermined,Maybunga
21-00299,Female,26,BSED-MATH,Public,Married,58577,Born - Again Christian,Catanduanes
21-00300,Female,25,BSBA,Private,Married,102434,Born - Again Christian,Sagad
21-00301,Female,33,BSECE,Private,Widower,131977,Protestant/Pentecostal,Rosario
21-00302,Female,31,BSED-FIL,Private,Separated,45484,No Religion,Kalawaan
21-00303,Male,35,BSN,Private,Separated,109187,Methodist,San Joaquin
21-00304,Female,31,BSN,Private,Living with Partner,50542,Atheist,Santolan
21-00305,Male,27,BSCS,Private,Single,101409,Seventh-Day Adventist,Santa Cruz
21-00306,Male,25,ABPSYCH,Private,Single Parent,46766,Undetermined,Kapitolyo
21-00307,Male,16,BSED-MATH,Public,Single,42880,The Church of Jesus Christ of Latter-Day Saints,Santolan
21-00308,Male,29,BEED,Private,Single,48178,The Church of Jesus Christ of Latter-Day Saints,Dela Paz
21-00309,Male,19,BSED-MATH,Public,Single Parent,118450,Aglipay,Rosario
21-00310,Female,27,BSN,Private,Married,69304,Members Church of God International,Teresa
21-00311,Female,18,BSED-ENG,Public,Married,116869,Baptist,San Joaquin
21-00312,Male,31,ABPSYCH,Private,Single Parent,85754,Methodist,Quezon City
21-00313,Female,34,BEED,Private,Single Parent,115769,Iglesia Ni Cristo,Buting
21-00314,Female,27,ABPSYCH,Public,Single Parent,122308,Seventh-Day Adventist,Bagong Katipunan
21-00315,Male,27,BSA,Private,Separated,68396,Islam,Mandaluyong City
21-00316,Female,20,BSIT,Private,Single,81100,Agnostic,Santa Cruz
21-00317,Female,27,BSN,Public,Married,74550,Seventh-Day Adventist,Dela Paz
21-00318,Female,20,BSBA,Private,Widower,54115,LDS Mormon,San Antonio
21-00319,Female,22,BSECE,Public,Single,70558,Roman Catholic,Manggahan
21-00320,Female,20,BSIT,Public,Married,139228,World Mission Society Church of God,Rosario
21-00321,Male,25,ABPSYCH,Public,Living with Partner,98092,Iglesia Ni Cristo,Manggahan
21-00322,Male,35,BSBA,Public,Single Parent,76361,Roman Catholic,Pineda
21-00323,Male,31,BSA,Public,Single,107811,Undetermined,Rosario
21-00324,Male,31,BSECE,Private,Widower,113226,No Religion,Teresa
21-00325,Male,30,BSBA,Private,Single Parent,52464,Protestant/Pentecostal,Mandaluyong City
21-00326,Male,23,BSA,Private,Married,13362,Aglipay,Binangonan
21-00327,Male,21,BSED-ENG,Private,Separated,119260,Baptist,Malinao
21-00328,Female,31,BSED-MATH,Private,Living with Partner,89817,Iglesia Ni Cristo,Santa Lucia
21-00329,Male,29,BSA,Private,Single,132748,Atheist,Taytay
21-00330,Female,18,BSN,Public,Single,106035,Jehovah's Witness,Taytay
21-00331,Female,19,BSED-MATH,Public,Widower,53145,Baptist,Oranbo
21-00332,Female,29,BSBA,Public,Single,98582,Atheist,Teresa
21-00333,Male,16,BSHM,Public,Living with Partner,21046,Baptist,Manggahan
21-00334,Female,30,BSED-MATH,Private,Separated,120557,Atheist,"Montalban, Rizal"
21-00335,Male,18,BSED-FIL,Public,Widower,99646,Jehovah's Witness,Manggahan
21-00336,Female,26,BSHM,Public,Widower,35240,Iglesia Ni Cristo,Santa Cruz
21-00337,Female,19,BEED,Public,Married,8737,Aglipay,Bagong Ilog
21-00338,Female,31,BSED-ENG,Public,Single Parent,52087,The Church of Jesus Christ of Latter-Day Saints,San Nicolas
